Timestamp,Used Memory (MB) Diff,CPU Load 1 min Diff,CPU Load 5 min Diff,CPU Load 15 min Diff,Disk Usage (%) Diff,TX (MB) Diff,RX (MB) Diff,CPU Load 1 min Actual,CPU Load 5 min Actual,CPU Load 15 min Actual,Open Ports,Label,Attack Technique
2024-08-29 17:36:43,0.0,-0.05999999999999961,-0.010000000000000675,-0.009999999999999787,0.0,0.0,0.0,4.87,4.89,4.88,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:36:53,0.0,0.019999999999999574,0.0,0.0,0.0,0.0,0.0,4.89,4.89,4.88,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:37:04,1.0,0.020000000000000462,0.0,0.009999999999999787,0.0,0.0,0.0,4.91,4.89,4.89,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:37:14,0.0,0.08000000000000007,0.020000000000000462,0.0,0.0,0.0,0.0,4.99,4.91,4.89,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:37:25,0.0,-0.07000000000000028,-0.009999999999999787,0.0,0.0,0.0,0.0,4.92,4.9,4.89,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:37:35,0.0,0.08999999999999986,0.019999999999999574,0.010000000000000675,0.0,0.0,0.0,5.01,4.92,4.9,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:37:46,0.0,0.16000000000000014,0.040000000000000036,0.009999999999999787,0.0,0.0,0.0,5.17,4.96,4.91,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:37:56,0.0,-0.09999999999999964,-0.019999999999999574,0.0,0.0,0.0,0.0,5.07,4.94,4.91,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:38:07,0.0,-0.010000000000000675,0.0,0.0,0.0,0.0,0.0,5.06,4.94,4.91,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
2024-08-29 17:38:17,0.0,-0.16999999999999993,-0.03000000000000025,-0.009999999999999787,0.0,0.0,0.0,4.89,4.91,4.9,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",0,0
