Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[1].TASK_INFOS[1].LAST_ACTIVATION_DELAY,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[1].TASK_INFOS[1].LAST_EXEC_DURATION,Arp.Plc.Eclr/code.IP_ACTIVE_DT,Arp.Plc.Eclr/code.USER_PART_DT.MEM_FREE,Arp.Plc.Eclr/code.USER_PART_DT.MEM_USAGE,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[2].TASK_INFOS[1].LAST_ACTIVATION_DELAY,Arp.Plc.Eclr/code.USER_PART_DT.MEM_USED,Arp.Plc.Eclr/code.cpu_1,Arp.Plc.Eclr/code.cpu_2,Arp.Plc.Eclr/code.temp,Total_Exec_Duration,Total_Activation_delay,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[2].TASK_INFOS[1].LAST_EXEC_DURATION,Label,Attack Technique,Timestamp
53.16,138.26,0.0,330682368.0,30.0,48.76,143388672.0,22.7,12.54,56.0,435.1,101.92,296.84,2,2,2024-08-24 22:05:12
49.68,128.3,0.0,330682368.0,30.0,45.7,143388672.0,17.0,5.8,56.0,411.16,95.38,282.86,2,2,2024-08-24 22:05:17
57.74,142.02,0.0,330680401.92,30.0,48.96,143390638.08,21.4,11.8,56.0,441.86,106.7,299.84,2,2,2024-08-24 22:05:22
48.66,127.86,0.0,330678272.0,30.0,46.38,143392768.0,18.2,5.4,56.0,408.24,95.04,280.38,2,2,2024-08-24 22:05:27
52.34,131.1,0.0,330678272.0,30.0,48.88,143392768.0,22.52,12.92,56.0,424.52,101.22,293.42,2,2,2024-08-24 22:05:32
45.62,119.56,0.0,330678272.0,30.0,45.78,143392768.0,17.48,4.48,56.0,402.12,91.4,282.56,2,2,2024-08-24 22:05:37
57.8,145.36,0.0,330678272.0,30.0,51.38,143392768.0,22.64,11.64,56.0,437.98,109.18,292.62,2,2,2024-08-24 22:05:42
46.88,121.84,0.0,330678272.0,30.0,49.86,143392768.0,18.16,4.56,56.0,376.1,96.74,254.26,2,2,2024-08-24 22:05:47
56.1,138.82,0.0,330677452.8,30.0,50.4,143393587.2,22.8,10.6,56.0,424.56,106.5,285.74,2,2,2024-08-24 22:05:52
49.88,125.84,0.0,330674176.0,30.0,48.6,143396864.0,17.6,4.0,56.0,447.74,98.48,321.9,2,2,2024-08-24 22:05:57
69.04,158.4,0.0,330674176.0,30.0,55.72,143396864.0,22.44,9.64,56.0,502.56,124.76,344.16,2,2,2024-08-24 22:06:02
68.16,160.4,0.0,330619617.28,30.0,54.38,143451422.72,43.04,35.04,56.0,488.26,122.54,327.86,2,2,2024-08-24 22:06:07
51.08,138.5,0.0,330568089.6,30.0,48.76,143502950.4,32.32,10.6,56.0,426.68,99.84,288.18,2,2,2024-08-24 22:06:12
40.3,116.84,0.0,330534912.0,30.0,42.2,143536128.0,21.88,8.08,56.0,357.22,82.5,240.38,2,2,2024-08-24 22:06:17
46.82,131.3,0.0,330534912.0,30.0,45.72,143536128.0,18.64,4.92,56.0,392.76,92.54,261.46,2,2,2024-08-24 22:06:22
