Timestamp,Used Memory (MB) Diff,CPU Load 1 min Diff,CPU Load 5 min Diff,CPU Load 15 min Diff,Disk Usage (%) Diff,TX (MB) Diff,RX (MB) Diff,CPU Load 1 min Actual,CPU Load 5 min Actual,CPU Load 15 min Actual,Open Ports,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[1].TASK_INFOS[1].LAST_ACTIVATION_DELAY,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[1].TASK_INFOS[1].LAST_EXEC_DURATION,Arp.Plc.Eclr/code.IP_ACTIVE_DT,Arp.Plc.Eclr/code.USER_PART_DT.MEM_FREE,Arp.Plc.Eclr/code.USER_PART_DT.MEM_USAGE,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[2].TASK_INFOS[1].LAST_ACTIVATION_DELAY,Arp.Plc.Eclr/code.USER_PART_DT.MEM_USED,Arp.Plc.Eclr/code.cpu_1,Arp.Plc.Eclr/code.cpu_2,Arp.Plc.Eclr/code.temp,Total_Exec_Duration,Total_Activation_delay,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[2].TASK_INFOS[1].LAST_EXEC_DURATION,Label,Attack Technique
6354.0,-1.0,0.0499999999999998,0.0199999999999995,0.0099999999999997,0.0,0.0,0.0,5.04,5.01,5.08,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",56.88,144.88,0.0,221818880.0,53.0,44.02,252252160.0,20.96,7.4,56.0,520.18,100.9,375.3,10,10
6365.0,1.0,-0.08,-0.0199999999999995,-0.0099999999999997,0.0,0.0,0.0,4.96,4.99,5.07,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",61.06,150.9,0.0,221814784.0,53.0,43.18,252256256.0,24.72,6.48,56.0,516.78,104.24,365.88,10,10
6375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96,4.99,5.07,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",55.52,141.98,0.0,221814784.0,53.0,44.34,252256256.0,18.42,12.48,56.0,501.1,99.86,359.12,10,10
6386.0,5.0,0.0099999999999997,0.0,0.0,0.0,0.0,0.0,4.97,4.99,5.07,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",118.72,242.3,0.0,221810688.0,53.0,66.02,252260352.0,61.96,57.24,56.0,684.64,184.74,442.34,10,10
6398.0,-2.0,0.4000000000000003,0.08,0.0299999999999993,-1.0,0.0,0.0,5.37,5.07,5.1,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",75.12,171.76,0.0,223627345.92,53.0,53.72,250443694.08,30.84,21.2,56.0,554.82,128.84,383.06,10,10
6408.0,-1.0,-0.1299999999999999,-0.0200000000000004,-0.0099999999999997,0.0,0.0,0.0,5.24,5.05,5.09,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",67.98,160.12,0.0,223875072.0,53.0,54.16,250195968.0,29.36,19.2,56.0,541.88,122.14,381.76,10,10
6419.0,0.0,0.04,0.0200000000000004,0.0,0.0,0.0,0.0,5.28,5.07,5.09,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",57.24,138.12,0.0,223870976.0,53.0,50.02,250200064.0,24.1,5.66,56.0,508.18,107.26,370.06,10,10
6429.0,0.0,-0.08,0.0,0.0,0.0,0.0,0.0,5.2,5.07,5.09,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",53.32,137.86,0.0,223870976.0,53.0,51.66,250200064.0,21.8,8.4,56.0,516.5,104.98,378.64,10,10
6440.0,0.0,0.04,0.0099999999999997,0.0,0.0,0.0,0.0,5.24,5.08,5.09,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",51.66,141.22,0.0,223866880.0,53.0,52.26,250204160.0,18.0,13.98,56.0,516.94,103.92,375.72,10,10
6450.0,1.0,-0.1100000000000003,-0.0200000000000004,0.0,0.0,0.0,0.0,5.13,5.06,5.09,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",89.08,214.0,0.0,223789056.0,53.0,62.46,250281984.0,50.68,47.56,56.0,637.28,151.54,423.28,10,10
